tag,pattern,response,Sentiment
angermanagement-a,"Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. Whenever people tell me stuff about my relationship like starting rumors or saying negative things about me or my relationship I lash out not just them but at my boyfriend. I feel like I keep causing drama due to my personality. I want to be a better person and learn to let things not get to me and be happy and graceful. I hurt the ones I love with my words. I want to be better for myself and them.","Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
user,"I feel so alone. I have so many people around me, but it seems as they just listen and dont understand. They say it will all be okay, or they dont listen to me st all. Everyone says they are here for me but it doesnt feel like they are. Why do I feel so alone?",,negative
goodbye,I am leaving,Talk to you later!|Bye!|Goodbye!,negative
user,"Im concerned about My 12 year old daughter.    About a month or two ago she started walking on her toes, as well as coloring and writing very messy. This all happened very suddenly. She has never walked on her tiptoes and has always colored and written very neatly.    Is this something I should be concerned abou? Any advice will help.",,positive
user,"Im always listening to my husband, but it feels like he never listens to me.    How do I get my husband to listen to me instead of me listening to him all the time?",,negative
user,"Were not together, but Im still doing things for him and we are intimate. Hes not there for his son.",,positive
relationship-b,I feel like I cant control having inappropriate thoughts,"Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
user,Its really hard to not have negative feelings about friends who dont put any effort into nourishing our relationship.,,positive
substanceabuse-a,"Im a female in my mid 20s. Lately I tend to over drink and Ive become a very angry drunk. In the past, I have even cheated on my boyfriend while I was under the influence of alcohol.    But now, even if I dont do anything wrong and dont embarrass myself, I still feel really guilty after a night of drinking. I dont understand why Im feeling this way. Does this mean I have a problem?","Studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well. Â I would recommend that you speak with someone abut your relationship and your concerns. Â Not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals. Â Being more aware of your relationship will help you in the future when re-engaging in personal relationships.|The first step to change is to admit that you have a problem that is in need of change. Frequently our problems keep us in denial. Although feeling hopeless is an uncomfortable feeling, it suggests to me that you know that you can not do this alone. The best course of treatment for you is to treat the problem head on.What else are you feeling along with this?|You are not hopeless, as you can see there are many people who care about your well being and believe you can overcome this. Why do you feel you are facing such things?",negative
user,"My friends husband is bipolar and refuses to take medication for it. He has taken the wheels off her vehicle before to prevent her from leaving. He has held her a prisoner in her home. He has choked her, hit her, etc. She has almost divorced him a couple of times but always makes up with him, thinking that he is going to change. She and I went to a wedding out of town in September of 2014, and ever since she has been back, he is convinced that she cheated on him while we were gone. Now he is saying that I have also cheated on my boyfriend and has come to my house and told my boyfriend this.",,neutral
user,"Im in my late 20s, and Ive never had a boyfriend or even been on a date. I have no friends. I hate Facebook because everyone else has kids and a great husband and great paying jobs. I work in retail, and I cant find a job. I have an Associate degree. No one is not giving me a chance, and Im getting upset and frustrated. I feel worthless and feel like everyone hates me. I feel like a failure, and I still live with my Dad. Its very embarrassing!",,negative
user,"I am an international student, and it is my first semester in graduate school in the United States. I faced a cultural shock, and I was so depressed when I arrived here. My counselor in the university was my savior. He helped me a great deal. Now I am going back to my country for a vacation. I was thinking to get him something special with my countrys name on it, and I remembered that he likes wine. My country is known for that. Is it appropriate to give him wine as a gift after Christmas?",,neutral
self-esteem-A,I put my all in to every thing.,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,"I know I was molested as a child, but I have no memory of it.",,negative
family-conflict,How can I avoid family members who stress me out?,"Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
user,My grandsons stepmother sends him to school with a pink Barbie backpack as a form of punishment.,,negative
user,"I crave attention, companionship, and sex. She has had a hysterectomy, and she has a bad knee.",,positive
relationship-a,Why does my boyfriend threaten to leave every night?,"Often, communication is the key within relationships. When faced with our significant other telling us about a â€œcrushâ€, it can create or highlight feelings or thoughts that can promote feelings of insecurity.|Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner|I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive.In situations like this, I would recommend being open and honest in your communication.",negative
user,"We had great chemistry, but then he became distant. I had the feeling that I cant be without him. As soon as I felt the difference, I was scared to lose him. I started freaking out if he did not answer, thinking that something bad happened.",,negative
substanceabuse-b,"My brother has been a heroin addict for years, and hes now in his mid30s. He has taken from me my mom and my grandparents. Hes sick in the head. Now he moved his girlfriend into the house because they both manipulated us. Today, my mom and my brother went toetotoe over his girlfriend not helping around the house and always being high. I ended up hitting my brother for getting so close to my moms face. I feel terrible, but hes always picking his girlfriend over us. Mind you, he tells other girls that he hates his girlfriend, hes single, and shes only living here because he feels bad. We tried kicking them out and everything, but nothing is working. They do nothing to try and help.",Your friend needs to admit they have a problem. It can be more dangerous to take medication away than slowly tapering off of them. Like anything we put into our system our tolerance builds up and can effect us in different ways. I would listen to them and discuss why they feel that they need to be on the medications rather than playing bad cop in this situation.|I would suggest having a conversation with them. Usually there are other signs of use that can often be missed. Â Be aware of behavior changes and mood swings. Be supportive and ready to listen often times individuals suffering from addiction will deny use until they are ready for help.|I'm sorry to hear that they has been having such a rough time. They're lucky to have you on his side. What do you think would be the root of the problem?,negative
user,"I never feel like myself. I cant even think straight anymore. I start stuttering and I cant remember anything. I always get nervous and usually talk myself down but recently end up fighting with, what feels like, someone else. I dont know why I feel this way, but I hate it.",,negative
user,"What makes my step child, an 8 year old boy, choke my daughter, a 6 year old girl? This has been going on for 4 years. The boy tells my daughter not to tell on him. He knows its wrong we have did time out, spanking, taking away toys, and sitting on the wall. I am afraid for my daughters safety!",,negative
user,"My wife and I got separated because I asked about her contact with a male friend of hers. The next day, she kicked me out.  She let me move back two days later. Yesterday, she said she wanted a divorce then quickly changed her mind. I asked if the other guy was a factor, but she says its not my business.",,negative
user,How does a person start the counseling process?,,negative
angermanagement-a,"Sometime when small thing happen, like losing a comb, I get furious. I even start throwing things. Do I have a problem?","Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
domesticviolence,How do I overcome the nightmare from the domestic violence of a past relationship?,"I'm glad that you are reaching out for help. What you are going though sounds overwhelming and exhausting. One thing you could try is to them your partner when they're not angry about other things to talk about|It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave them. Is it because of other reasons? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for anyone. So if the abuse continues, it would be more beneficial for you to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship is worth salvaging.|Firstly, here, changes need to be made quickly. Taking control of your emotions needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have.aling with your emotions.",negative
user,"I know that I need to get past my feelings for this person I fell in love with, but ts so difficult to move on because he showed me feelings Ive never felt before.    I feel like I dont want to be without my genuine love for him, but logically, I know I need to be without him. I cant discuss this with anybody in my life because the conditions surrounding our love are considered wrong by a lot of people.
   How can I get myself to just move on?",,negative
substanceabuse-a,Im addicted to smoking. How can I stop?,"Studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well. Â I would recommend that you speak with someone abut your relationship and your concerns. Â Not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals. Â Being more aware of your relationship will help you in the future when re-engaging in personal relationships.|The first step to change is to admit that you have a problem that is in need of change. Frequently our problems keep us in denial. Although feeling hopeless is an uncomfortable feeling, it suggests to me that you know that you can not do this alone. The best course of treatment for you is to treat the problem head on.What else are you feeling along with this?|You are not hopeless, as you can see there are many people who care about your well being and believe you can overcome this. Why do you feel you are facing such things?",negative
user,"Im fine when we start becoming intimate, but out of nowhere, I will get a flashback of what happened to me in the past. I start hysterically crying and freaking out when my boyfriend obviously has done nothing to hurt me.",,positive
user,"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected with my husband.",,negative
self-esteem-B,I am very self conscious about my body,"Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.|I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?|I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?",negative
user,"Im in my late teens and live with my dad.  The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I wont want to talk to them for days or even weeks. 

Sometimes I feel im not worth knowing or im never going to do anything right.

Are they right, am I depressed?",,negative
user,"Im currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99 sure I have Borderline Personality Disorder and Avoidant Personality Disorder. I read the DSMIV, taken college psychology, etc. I know it in my heart I have them. Is selfdiagnosing okay with the right research?",,positive
angermanagement-a,"I been having anger problems a lot lately. It only takes one word wrongly said to set me off. I use to not be like this until I got with my soontobe husband. I think his mood and rageanger problems have rubbed off on me a lot. I dont get nearly as bad as he does, but I yell almost constantly and I cant seem to just stop. I have two young babies that have to hear this, and I dont want my girls growing up with a mommy like I have been lately. I just dont know how to get back to my old self.","Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
user,"Shes in her early 20s, and she has a toddler.",,positive
griefandloss,I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our apartment. Im not handling it well. I moved to a new town and started a new life but nothing helps.,"Y'know, to see soemeone you've loved and care for pass on must make you want to cry. And, may I say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.And then, after about a week or so, it will help greatly.|I am so sorry to hear about your loss. They must have been very special to you and it definitely makes sense that you are having a hard time with it. A possibility is a support group for bereavement and loss. Many are free.Â I wish you the best towards healing your heart.|Death and grief bring up so many painful reminders of relationships--what they could have been, never were, and what was lost. Please take some time to yourself to recope with it.",negative
substanceabuse-a,How can I stop abusing alcohol?,"Studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well. Â I would recommend that you speak with someone abut your relationship and your concerns. Â Not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals. Â Being more aware of your relationship will help you in the future when re-engaging in personal relationships.|The first step to change is to admit that you have a problem that is in need of change. Frequently our problems keep us in denial. Although feeling hopeless is an uncomfortable feeling, it suggests to me that you know that you can not do this alone. The best course of treatment for you is to treat the problem head on.What else are you feeling along with this?|You are not hopeless, as you can see there are many people who care about your well being and believe you can overcome this. Why do you feel you are facing such things?",neutral
relationship-a,Im scared of losing my girlfriend,"Often, communication is the key within relationships. When faced with our significant other telling us about a â€œcrushâ€, it can create or highlight feelings or thoughts that can promote feelings of insecurity.|Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner|I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive.In situations like this, I would recommend being open and honest in your communication.",negative
user,"I dont know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?",,negative
user,Ive gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky.  Is this normal? Should I still be feeling like this?,,negative
family-conflict,What can I do about my family not accepting me as bisexual?,"Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
user,"My spouse visited the red light district a couple of years back in Amsterdam. After he got back from the trip he got me tested for stds. In the aftermath he has provided multiple versions of what happened, from having a total blackout to being touched by a prostitute. How do I know if he had sex?",,negative
self-esteem-A,Why do I feel like I can never meet peoples expectations?,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
goodbye,see you later,Talk to you later!|Bye!|Goodbye!,positive
user,"My husband and I have been together since high school. We have been married going on for nearly ten years, and we have three beautiful children. A few weeks ago, my husband decided he need some time apart and moved over to his dads for a while. He comes home to see the kids and acts like there is not too much wrong. Can this marriage be saved or is it too late? He said he would go to counseling, so I dont think he has given up.",,positive
user,I feel really uncomfortable when I have peoples attention. It makes me not want to talk in public or answer questions in class. Can I get over this social anxiety?,,negative
goodbye,bye,Talk to you later!|Bye!|Goodbye!,negative
angermanagement-a,I get angry and act out. It scares my wife and child.,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
user,"I think i may suffer from depression, and it is affecting my life and sleep. I am on my parents insurance, and they wont let me see a therapist because they dont believe in it.",,positive
